Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_YSLText,120,0,PVC  DN800,CDShxStyle,PVC  DN800,32101,"c(37489431.5503182, 2397431.77393289)",37489431.55,2397431.774
Text,PS_YSLText,120,0,Ì≈  DN300X400,CDShxStyle,Ì≈  DN300X400,32102,"c(37489229.7361408, 2398205.40420023)",37489229.74,2398205.404
Text,PS_YSLText,120,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,32103,"c(37489390.7316479, 2396490.61017792)",37489390.73,2396490.61
Text,PS_YSLText,120,0,Ì≈  DN1000X2500,CDShxStyle,Ì≈  DN1000X2500,32104,"c(37489503.5265991, 2397434.52984619)",37489503.53,2397434.53
Text,PS_YSLText,120,0,Ì≈  DN1000X2500,CDShxStyle,Ì≈  DN1000X2500,32105,"c(37489540.3725109, 2397441.19629475)",37489540.37,2397441.196
Text,PS_YSLText,120,0,Ì≈  DN1000X2500,CDShxStyle,Ì≈  DN1000X2500,32106,"c(37489540.2020321, 2397465.95983639)",37489540.2,2397465.96
Text,PS_YSLText,120,0,Ì≈  DN1000X2500,CDShxStyle,Ì≈  DN1000X2500,32107,"c(37489539.9160458, 2397490.12573228)",37489539.92,2397490.126
Text,PS_YSLText,120,0,Ì≈  DN1000X2500,CDShxStyle,Ì≈  DN1000X2500,32108,"c(37489539.8740036, 2397504.3449031)",37489539.87,2397504.345
Text,PS_YSLText,120,0,Ì≈  DN1000X2500,CDShxStyle,Ì≈  DN1000X2500,32109,"c(37489539.9520099, 2397520.17914108)",37489539.95,2397520.179
Text,PS_YSLText,120,0,Ì≈  DN1000X2500,CDShxStyle,Ì≈  DN1000X2500,32110,"c(37489540.0475114, 2397534.81587853)",37489540.05,2397534.816
Text,PS_YSLText,120,0,Ì≈  DN1000X2500,CDShxStyle,Ì≈  DN1000X2500,32111,"c(37489540.1280106, 2397546.9042502)",37489540.13,2397546.904
Text,PS_YSLText,120,0,Ì≈  DN1000X2500,CDShxStyle,Ì≈  DN1000X2500,32112,"c(37489540.2726112, 2397556.95554288)",37489540.27,2397556.956
Text,PS_YSLText,120,0,Ì≈  DN1000X2500,CDShxStyle,Ì≈  DN1000X2500,32113,"c(37489540.4365003, 2397611.59650282)",37489540.44,2397611.597
Text,PS_YSLText,120,0,Ì≈  DN1000X2500,CDShxStyle,Ì≈  DN1000X2500,32114,"c(37489630.6192632, 2397663.06390519)",37489630.62,2397663.064
Text,PS_YSLText,120,0,PVC  DN200,CDShxStyle,PVC  DN200,32115,"c(37488940.0745074, 2397309.65571476)",37488940.07,2397309.656
Text,PS_YSLText,120,0,PVC  DN200,CDShxStyle,PVC  DN200,32116,"c(37488940.116351, 2397295.34926767)",37488940.12,2397295.349
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32117,"c(37489256.3268736, 2396493.8022505)",37489256.33,2396493.802
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32118,"c(37489237.8686782, 2396495.99335461)",37489237.87,2396495.993
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32119,"c(37489220.2102127, 2396496.42034299)",37489220.21,2396496.42
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32120,"c(37489192.6988776, 2396517.59882357)",37489192.7,2396517.599
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32121,"c(37489205.955193, 2396504.91481825)",37489205.96,2396504.915
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32122,"c(37489211.5776326, 2396496.66126372)",37489211.58,2396496.661
Text,PS_YSLText,120,0,PVC  DN600,CDShxStyle,PVC  DN600,32123,"c(37489219.3263796, 2396488.48561929)",37489219.33,2396488.486
Text,PS_YSLText,120,0,PVC  DN600,CDShxStyle,PVC  DN600,32124,"c(37489244.5868196, 2396484.49222138)",37489244.59,2396484.492
Text,PS_YSLText,120,0,PVC  DN300,CDShxStyle,PVC  DN300,32125,"c(37489228.3021948, 2396489.42784716)",37489228.3,2396489.428
Text,PS_YSLText,120,0,Ì≈  DN300X400,CDShxStyle,Ì≈  DN300X400,32126,"c(37489028.688945, 2398137.19055272)",37489028.69,2398137.191
Text,PS_YSLText,120,0,Ì≈  DN300X400,CDShxStyle,Ì≈  DN300X400,32127,"c(37489003.7170599, 2398130.85544832)",37489003.72,2398130.855
Text,PS_YSLText,120,0,PVC  DN800,CDShxStyle,PVC  DN800,32128,"c(37489416.9915192, 2398228.20788063)",37489416.99,2398228.208
Text,PS_YSLText,120,0,Ì≈  DN1500,CDShxStyle,Ì≈  DN1500,32129,"c(37491407.3234652, 2398983.60905704)",37491407.32,2398983.609
Text,PS_YSLText,120,0,Ì≈  DN1200,CDShxStyle,Ì≈  DN1200,32130,"c(37490212.5115153, 2398884.06492311)",37490212.51,2398884.065
Text,PS_YSLText,120,0,Ì≈  DN1500X2000,CDShxStyle,Ì≈  DN1500X2000,32131,"c(37494137.524448, 2397399.94404158)",37494137.52,2397399.944
Text,PS_YSLText,120,0,Ì≈  DN600,CDShxStyle,Ì≈  DN600,32132,"c(37494182.1049192, 2396867.11372766)",37494182.1,2396867.114
Text,PS_YSLText,120,0,Ì≈  DN1500,CDShxStyle,Ì≈  DN1500,32133,"c(37494226.3550388, 2396830.3768107)",37494226.36,2396830.377
Text,PS_YSLText,120,0,PVC  DN200,CDShxStyle,PVC  DN200,32134,"c(37493679.1650016, 2394217.22774986)",37493679.17,2394217.228
Text,PS_YSLText,120,0,PVC  DN200,CDShxStyle,PVC  DN200,32135,"c(37493680.2295, 2394184.37372078)",37493680.23,2394184.374
Text,PS_YSLText,120,0,PVC  DN500,CDShxStyle,PVC  DN500,32136,"c(37493681.6789993, 2394205.47736283)",37493681.68,2394205.477
